Species,ID,Gender,Hatch Date,weight,Price,sale price,On website,Status,Availability
,RA2025-11 Xmas,female,5/11/2025,6.2g,"1,650",,,,
,RA2025-12 desire,unsexed poss pores?,5/26/2025,6.5g,2k,,,,
,RA2025-13 BM x Dice,no pores,5/21/2025,6g,2k,,,,
,RA2025-14 X-Mas,poss pores?,5/7/2025,6.3g,"3,500",,,,
,RA2025-15 Hotshot,no pores,5/15/2025,7.1g,,,,,
,RA2025-16 Ferrari,np,4/9/2025,8.6g,,,,,
,RA2025-17 Caliber,Male,4.6/25,10g,2k,,,,
,RA2025-18 Desire,female,5/28/2025,8g,"3,500",,,,
,RA2025-19 Redbud,Unsexed,5/29/2025,9g,950,,,,
,RA68 Orange blotch,female,September '24,35g,950,,,,
,RA2025-20 Jrus,,6/4/2025,,,,,,
,RA2025-21 Caliber,,5/17/2025,,,,,,
,RA2025-22 J.Rus,female,7/7/2025,,,,,,
,RA2025-23 ZIP ,,5/15/2025,,,,,,
,RA2025-24 Hot Shot,NP,5/25/2025,,,,,,
,RA2025-25 JAM ,female,4/26/2025,,,,,,
,RA2025-25 Hotshot,,5/25/2025,,,,,,
,RA2025-26 Redbuid,,4/5/2025,,,,,,
,RA2025-27 Orion,,6/9/2025,,,,,,
,RA2025-28 ZIP,,7/14/2025,,,,,,
,RA2025-29 Caliber,,5/17/2025,,,,,,
,RA2025-30 Redbud,,5/26/2025,,,,,,
,RA2025-31 Jmag,,4/29/2025,,,,,,
,RA2025-32 Jrus,,4/30/2025,,,,,,
,RA2025-33 Caliber,,4/6/2025,,,,,,
,RA2025-34 Orange ,,5/5/2025,,,,,,
,RA2025-35 Caliber ,Male,6/10/2025,,,,,,
,RA2025-36 Hotshot,,6/23/2025,,,,,,
,RA2025-37 Toasty ,,5/20/2025,,,,,,
,RA2025-38 Starburst,,6/11/2025,,,,,,
,RA2025-39 Redbud,,7/15/2025,,,,,,
,RA2025-40 Saffron,,7/3/2025,,,,,,
,RA2025-41 Starburst,,5/25/2025,,,,,,
,Ra2025-42 Spice,,6/5/2025,,,,,,
,RA2025-43 Zip,,7/15/2025,,,,,,
,RA2025-44 Caliber,,4/5/2025,,,,,,
,RA2025-45 Hotshot,,6/21/2025,,,,,,
,RA2025-46 Desire,,5/30/2025,,,,,,
,RA2025-47 Toasty,,6/26/2025,,,,,,
,RA2025-48 HotShot,,5/14/2025,,,,,,
,RA2025-49 Zip,,9/22/2025,,,,,,
,RA2025-50 Starburst,,7/25/2025,,,,,,
,RA2025-51 Jrus,,6/4/2025,,,,,,
,RA2025-52 Jrus ,,4/30/2025,,,,,,
,RA2025-53 zip,,5/21/2025,,,,,,
,Ra2025-54 Atomic,,6/10/2025,,,,,,
,Ra2025-55 Spark,Probable female,7/25/2025,8g,,,,photod 1/7/26,
,RA2025-56 Fruit Loops,unsexed some pores seen,7/3/2025,6.6g,,,,,
,RA2025-57 Orion,female,7/10/2025,7.5g,,,,,
,Ra2025-58 jam,female,7/12/2025,8g,,,,,
,Ra2025-59 Toasty,unsexed,9/3/2025,5.6g,,,,,
,Ra2025-60 Toasty,poss male.  Pores seen,5/13/2025,13.2g ,400,,,,
,RA2025-41 Starburst,female,5/25/2025,6.6g,500,,,,
,RA2025-30 Redbud,probable male pores seen,5/26/2025,12.5g,"1,500",,,,
,RA2025-61 Wildfire,prob male,6/10/2025,7g,,,,,
,RA2025-26 Redbud,male,4/5/2025,13g,575,,,,
,RA2025-62 Flare,Poss female no pores,7/25/2025,7g,385,,,,
,RA2025-63 Jrus,prob female no pores,4/22/2025,7.5g,650,,,,
,RA2025-32 Jrus,female,4/30/2025,13.5g,,,,,
,RA2025-8 toasty,male,5/28/2025,15.5g,,,,,
,RA2025-64 Toasty,Poss male?  Some pores seen,7/15/2025,1/9/1900,,,,,
,RA2025-65 Tiger,unsexed,8/6/2025,7g,,,,,
,RA2025-66 Hotshot,unsexed,9/27/2025,5.2g,,,,,
,RA2025-67 Toasty,Probable female,9/18/2025,6g,,,,,
,RA2025-75 redbud,unsexed ,6/16/2025,6.6g,,,,,
,RA2025-76 hotshot,unsexed,8/10/2025,5.1g,,,,,
,RA2025-77 Atomic ,female,8/21/2025,9.5g,450,,,,
,RA2025-78 Zip,Female,7/15/2025,6.5g ,300,,,,
,RA025-72 spice ,male,5/11/2025,14.5g,,,,,
,RA2025-73 Godiva,female,6/2/2025,11g,,,,,
,RA2025-74 caliber ,female,6/12/2025,11.5g,,,,,
,RA2025-68 Godiva,female,7/14/2025,6g,,,,,
,RA2025-69 Orion,male,6/10/2025,8.5g,,,,,
,RA2025-70 caliber ,male,6/6/2025,8.3g,,,,,
,RA2025-71 Orange ,NO pores poss female,5/29/2025,10g,,,,,
,RA2025-79 zeus ,no pores,10/21/2025,,,,,,
,RA2025-80 starburst,male,4/17/2025,,,,,,
,RA2025-82 Starburst,male,7/7/2025,1/4/1900,,,,,
,RA2025-83 unknown,unsexed,9/23/2025,,,,,,
,RA2025-81 zeus,female,8/1/2025,,,,,,
,Ra2025-84 obi,unsexed,9/13/2025,,,,,,
,RA2025-85 desire,femle,7/15/2025,,,,,,
,,,,,,,,,
,RL1 Gen 2 Nightshade x DM,Female,11/6/2024,22.75g,,,,,
,RL2 Treetop,Female,10/20/2024,24.30g,,,,,
,RL3 Tmk x CAMK,Female,8/9/2024,17.80g,,,,,
,RL4 TMK x CAMK,Female,9/3/2024,12g,,,,,
,RL5 Gen 2 nightshade x DM,Female,7/2/2024,34.5g,,,,,
,RL6 A x MCDM,Female,8/13/2024,24.08g,,,,,
,RL7 Friedel MK x MCDM,Female,9/11/2024,23g,"1,500",,no,,
,RL8 Tmk x CAMK,Female,12/1/2024,14g,"1,000",,no,,
Leachianus,RL9 NLS,Unsexed,1/15/2025,12.57g,650,,yes,Auction,
Leachianus,RL10 NLS,Unsexed,1/15/2025,,650,,no,,
Leachianus,RL11 NLS,Unsexed,12/5/2024,12.57g,"1,500",,no,,
Leachianus,RL12 treetop,female,7/9/2022,200,750,,no,,
Leachianus,RL13 Troeger x CAMK,Unsexed,6/14/2025,,750,,no,,
Leachianus,RL14 Troeger MK x CAMK,Unsexed,6/15/2025,,650,,no,Auction,
Leachianus,RL2025-3 Nuu Ana,Unsexed,6/24/2025,,450,,,Auction,
Leachianus,RL15 Nightshade x A mcdm ,female,9/5/2024,60.5g,450,,,Auction,
Leachianus,RL16 Nightshadex MCDM ,male,11/1/2023,99g,450,,,,
Leachianus,RL2025-4 Pine Tree,female,3/13/2025,21g,"2,000",,,,
,RL2025-5 Red Bar,female,6/13/2025,22.5g,600,,,,
,RL2025-6 Nuu Ana,,4/26/2025,,,,,,
,RL17 Nightshade x MCDM A,Female,5/21/2024,,500,,,,
,RL2025-7 GT MK/MCDM xFriedel MK,,7/15/2025,,1k,,,,
,RL2025-8 GT TMK x CAMK,NPV,7/25/2025,,2k,,,,
,RL17 Nightshade x MCDM A,,9/5/2024,58.5,1500,,,,
,RL18 red bar male,Male,10/12/2024,51.5,2500,,,,
,RL2025-9 NLS,,8/11/2025,,,,,,
,RL2025-10 MCDM Mt. K x Friedel ,female,7/18/2025,25g,,,,,
,RL2025-11 Stella x Ana,,6/15/2025,,,,,,
,RL2025-12 MK MCDM x Friedel MK,,10/21/2025,,,,,,
,Rl2025-13 nls,,10/20/2025,,,,,,
,RL2025-14 Amethyst x Red Friedel,female,7/17/2025,15.6g,,,,,
,RL19 Type 1 x MCDM x Purple Passion,,5/24/2024,92g,,,,,
,RL20 Victor Red Bar x CAMK,Male,8/21/2024,64g,,,,,
,RL2025-15 NLS,,11/17/2025,9g,,,,,
,RL2025-16 NLS,Unsexed,11/17/2025,9g,,,,,
,RL2025-17 Purp camk,male,8/11/2025,18.6g,,,,,
,RL2025-18 Purp cank,Female,9/25/2025,15.4g,,,,,
,RL2025-19 PDV MK/MCDM x Freidel mk,Female,10/22/2025,16g,,,,,
,RL2025-20 Purp CAMK ,Male,9/28/2025,15g,,,,,
,RL2025-21 Amethyst x Purp passion,Female,7/7/2025,15.8g,,,,,
,RL2025-22 Red Bar,Male,9/24/2025,18g,,,,,
,,,,,,,,,
,SC32,Unsexed ,10/7/2024,,,,,,
,SC31,,10/8/2024,,,,,,
,SC15 Tremoer male,,10/20/2024,,,,,,
,SC9 may,,8/11/2024,,,,,,
,sc30,,10/16/2024,,,,,,
,sc25 cray,,10/17/2024,,,,,,
Ciliaris,sc24 crazy outcross,,10/1/2024,,550,,,,
Ciliaris,sc2025-1 crazy x NH F,female,5/26/2025,,,,,,
Ciliaris,sc2025-3 keo/goe x tspot,male,4/17/2025,,,,,,
Ciliaris,sc2025-4 keu goe x tspot,female,5/9/2025,,,,,,
Ciliaris,sc2025-5 ,femqle,4/25/2025,,,,,,
Ciliaris,sc2025-6 crazy xNHfemale,male,4/29/2025,,,,,,
Ciliaris,sc2025-7 crazy x NH,female,5/1/2025,,,,,,
,sc2025-8 kan/go x crazy ,male,7/16/2025,,,,,,
,sc2025-9 black mask ,male,5/20/2025,,,,,,
,sc2025-10 keu goe x tspot ,male,7/7/2025,,,,,,
,sc2025-11 keu/goe x crazy,,,,,,,,
,sc2025-12 tremper x crazy female,male,6/16/2025,,,,,,
,sc2025-13 black female x crazy male,male,5/26/2025,,,,,,
,Sc2025-14 kan/goe x crazy ,female,5/2/2025,,,,,,
